model_col,dataset
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/mouse/mouse_TFBS_1
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/mouse/mouse_TFBS_2
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/mouse/mouse_TFBS_3
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/mouse/mouse_TFBS_4
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/mouse/mouse_TFBS_5
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/prom/promoter_all_300bps
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/prom/promoter_all_70bps
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/prom/promoter_notata_300bps
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/prom/promoter_notata_70bps
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/prom/promoter_tata_300bps
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/prom/promoter_tata_70bps
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/splice/acceptors
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/splice/donors
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/splice/splice_site_type_DNABERT
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/splice/splice_site_type_NT
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/tf/Human_TFBS_1
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/tf/Human_TFBS_2
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/tf/Human_TFBS_3
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/tf/Human_TFBS_4
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/tf/Human_TFBS_5
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark/virus/covid_variants
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark_long/iPro-WAEL/Promoter_GM12878
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark_long/iPro-WAEL/Promoter_HUVEC
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark_long/iPro-WAEL/Promoter_Hela-S3
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark_long/splice/acceptors
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark_long/splice/donors
fm_NTv3_650M_pre_MCC,dna_foundation_benchmark_long/virus/covid_variants
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/deep4mc/D.melanogaster_4mC
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/deep4mc/E.coli_4mC
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/deep4mc/G.pickeringii_4mC
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/deep4mc/G.subterraneus_4mC
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/enhancers/enhancer
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/enhancers/enhancer_strength
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/genomic_benchmark/coding
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/genomic_benchmark/enhancer_cohn
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/genomic_benchmark/enhancer_ensembl
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/genomic_benchmark/human_vs_worm
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/genomic_benchmark/open_chromatin_region
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/genomic_benchmark/promoter_notata_251bps
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/genomic_benchmark/regulatory_region_type
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/iDHS-EL/DNase_I
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/iDNA_ABF/5mC
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/iDNA_ABF/6mA
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/iPro-WAEL/Promoter_Arabidopsis_NonTATA
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/iPro-WAEL/Promoter_Arabidopsis_TATA
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/iPro-WAEL/Promoter_B_amyloliquefaciens
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/iPro-WAEL/Promoter_GM12878
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/iPro-WAEL/Promoter_HUVEC
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/iPro-WAEL/Promoter_Hela-S3
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/iPro-WAEL/Promoter_NHEK
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/iPro-WAEL/Promoter_R_capsulatus
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/mouse/mouse_TFBS_1
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/mouse/mouse_TFBS_2
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/mouse/mouse_TFBS_3
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/mouse/mouse_TFBS_4
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/mouse/mouse_TFBS_5
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/prom/promoter_all_300bps
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/prom/promoter_all_70bps
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/prom/promoter_notata_300bps
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/prom/promoter_notata_70bps
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/prom/promoter_tata_300bps
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/prom/promoter_tata_70bps
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/splice/acceptors
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/splice/donors
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/splice/splice_site_type_DNABERT
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/splice/splice_site_type_NT
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/tf/Human_TFBS_1
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/tf/Human_TFBS_2
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/tf/Human_TFBS_3
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/tf/Human_TFBS_4
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/tf/Human_TFBS_5
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark/virus/covid_variants
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark_long/iPro-WAEL/Promoter_GM12878
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark_long/iPro-WAEL/Promoter_HUVEC
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark_long/iPro-WAEL/Promoter_Hela-S3
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark_long/splice/acceptors
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark_long/splice/donors
fm_hyenadna-medium-160k-seqlen-hf_MCC,dna_foundation_benchmark_long/virus/covid_variants
fm_DNABERT-2-117M_MCC,genomic_benchmark/enhancer_ensembl
fm_DNABERT-2-117M_MCC,genomic_benchmark/human_vs_worm
fm_DNABERT-2-117M_MCC,genomic_benchmark/open_chromatin_region
fm_DNABERT-2-117M_MCC,genomic_benchmark/promoter_notata_251bps
fm_DNABERT-2-117M_MCC,genomic_benchmark/regulatory_region_type
fm_DNABERT-2-117M_MCC,iDHS-EL/DNase_I
fm_DNABERT-2-117M_MCC,iDNA_ABF/5mC
fm_DNABERT-2-117M_MCC,iDNA_ABF/6mA
fm_DNABERT-2-117M_MCC,iPro-WAEL/Promoter_Arabidopsis_NonTATA
fm_DNABERT-2-117M_MCC,iPro-WAEL/Promoter_Arabidopsis_TATA
fm_DNABERT-2-117M_MCC,iPro-WAEL/Promoter_B_amyloliquefaciens
fm_DNABERT-2-117M_MCC,iPro-WAEL/Promoter_GM12878
fm_DNABERT-2-117M_MCC,iPro-WAEL/Promoter_HUVEC
fm_DNABERT-2-117M_MCC,iPro-WAEL/Promoter_Hela-S3
fm_DNABERT-2-117M_MCC,iPro-WAEL/Promoter_NHEK
fm_DNABERT-2-117M_MCC,iPro-WAEL/Promoter_R_capsulatus
fm_DNABERT-2-117M_MCC,mouse/mouse_TFBS_1
fm_DNABERT-2-117M_MCC,mouse/mouse_TFBS_2
fm_DNABERT-2-117M_MCC,mouse/mouse_TFBS_3
fm_DNABERT-2-117M_MCC,mouse/mouse_TFBS_4
fm_DNABERT-2-117M_MCC,mouse/mouse_TFBS_5
fm_DNABERT-2-117M_MCC,prom/promoter_all_300bps
fm_DNABERT-2-117M_MCC,prom/promoter_all_70bps
fm_DNABERT-2-117M_MCC,prom/promoter_notata_300bps
fm_DNABERT-2-117M_MCC,prom/promoter_notata_70bps
fm_DNABERT-2-117M_MCC,prom/promoter_tata_300bps
fm_DNABERT-2-117M_MCC,prom/promoter_tata_70bps
fm_DNABERT-2-117M_MCC,splice/acceptors
fm_DNABERT-2-117M_MCC,splice/donors
fm_DNABERT-2-117M_MCC,splice/splice_site_type_DNABERT
fm_DNABERT-2-117M_MCC,splice/splice_site_type_NT
fm_DNABERT-2-117M_MCC,tf/Human_TFBS_1
fm_DNABERT-2-117M_MCC,tf/Human_TFBS_2
fm_DNABERT-2-117M_MCC,tf/Human_TFBS_3
fm_DNABERT-2-117M_MCC,tf/Human_TFBS_4
fm_DNABERT-2-117M_MCC,tf/Human_TFBS_5
fm_DNABERT-2-117M_MCC,virus/covid_variants
